absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText
791640.8561632,0,0.02,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.0694902,0.02,0.02,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.1011598,0.0558141,0.0358141,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.1078938,0.0628137,0.0069996,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.1317082,0.0866036,0.0237899,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.1555166,0.1101385,0.0235349,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.1786978,0.1336198,0.0234813,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.2018981,0.1567108,0.023091,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.2234904,0.1784136,0.0217028,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.2468778,0.2017915,0.0233779,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.2685662,0.2235492,0.0217577,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.2897403,0.2446771,0.0211279,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.3117487,0.2662102,0.0215331,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.3325383,0.2873559,0.0211457,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.3534949,0.3084438,0.0210879,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.374269,0.3292399,0.0207961,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.3947585,0.3497764,0.0205365,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.4154235,0.3704455,0.0206691,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.435954,0.3908942,0.0204487,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.4582265,0.413213,0.0223188,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.4763141,0.4312127,0.0179997,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.4955652,0.4505879,0.0193752,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.5155973,0.4706085,0.0200206,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.534799,0.4898192,0.0192107,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.5539751,0.5089252,0.019106,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.5731769,0.5281734,0.0192482,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.5922254,0.5472521,0.0190787,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.6110637,0.5660102,0.0187581,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.6293041,0.5843147,0.0183045,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.6487044,0.6036043,0.0192896,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.6667217,0.6213999,0.0177956,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791642.6848639,0.6398735,0.0184736,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
