absoluteTime,trialTime,deltaTime,trialIndex,xPos,yPos,zPos,xRot,yRot,zRot,conditionType,currentText,targetText
791640.8562726,0,0.02,0,-0.02260628,1.143288,-1.255118,0.08679734,0.07287233,-0.002798302,Unknown,,hey everyone
791642.0694931,0.02,0.02,0,-0.01668307,1.139655,-1.255754,0.09553638,0.07482219,-0.00120212,Unknown,,hey everyone
791642.1011626,0.0558141,0.0358141,0,-0.020946,1.136598,-1.254599,0.1030838,0.06713328,-0.007353255,Unknown,,hey everyone
791642.1079155,0.0628137,0.0069996,0,-0.02093004,1.136648,-1.254524,0.1030189,0.0674822,-0.007335193,Unknown,,hey everyone
791642.1317139,0.0866036,0.0237899,0,-0.02097801,1.136627,-1.2545,0.1029802,0.06757253,-0.007245744,Unknown,,hey everyone
791642.1555221,0.1101385,0.0235349,0,-0.02102212,1.136617,-1.254458,0.1028344,0.06761933,-0.007077985,Unknown,,hey everyone
791642.1787012,0.1336198,0.0234813,0,-0.02114132,1.136558,-1.254441,0.10262,0.06759029,-0.006961993,Unknown,,hey everyone
791642.201901,0.1567108,0.023091,0,-0.02121603,1.136596,-1.254409,0.1020241,0.06801692,-0.006946273,Unknown,,hey everyone
791642.2234935,0.1784136,0.0217028,0,-0.02131438,1.136596,-1.254405,0.1019164,0.0682249,-0.00713942,Unknown,,hey everyone
791642.2468806,0.2017915,0.0233779,0,-0.02138181,1.13651,-1.254406,0.1018062,0.06869555,-0.007206538,Unknown,,hey everyone
791642.2685689,0.2235492,0.0217577,0,-0.02135201,1.136491,-1.254375,0.1018019,0.06906869,-0.007283404,Unknown,,hey everyone
791642.2897436,0.2446771,0.0211279,0,-0.0214992,1.136327,-1.254465,0.1014812,0.06948858,-0.007281154,Unknown,,hey everyone
791642.3117519,0.2662102,0.0215331,0,-0.02152085,1.136284,-1.254484,0.1012508,0.0698664,-0.007393191,Unknown,,hey everyone
791642.3325456,0.2873559,0.0211457,0,-0.02149442,1.136292,-1.254497,0.1012112,0.07000311,-0.007386181,Unknown,,hey everyone
791642.3534981,0.3084438,0.0210879,0,-0.0215066,1.136298,-1.254473,0.1011492,0.0699921,-0.007375253,Unknown,,hey everyone
791642.374272,0.3292399,0.0207961,0,-0.02159165,1.136234,-1.254511,0.1011086,0.06995586,-0.007460967,Unknown,,hey everyone
791642.3947622,0.3497764,0.0205365,0,-0.02162031,1.136276,-1.254483,0.1009531,0.06978881,-0.007720077,Unknown,,hey everyone
791642.4154269,0.3704455,0.0206691,0,-0.02163536,1.136319,-1.254425,0.1007926,0.06959908,-0.00807033,Unknown,,hey everyone
791642.4359569,0.3908942,0.0204487,0,-0.02173666,1.136282,-1.254376,0.1007638,0.06934889,-0.008449749,Unknown,,hey everyone
791642.4582293,0.413213,0.0223188,0,-0.02180772,1.136247,-1.254358,0.1007697,0.06909211,-0.008779457,Unknown,,hey everyone
791642.4763178,0.4312127,0.0179997,0,-0.02185639,1.136266,-1.254347,0.1007837,0.06886393,-0.009015901,Unknown,,hey everyone
791642.4955684,0.4505879,0.0193752,0,-0.02190477,1.136192,-1.25436,0.1008211,0.06874365,-0.009222169,Unknown,,hey everyone
791642.5156003,0.4706085,0.0200206,0,-0.0218931,1.136142,-1.254353,0.1009893,0.06869566,-0.009320023,Unknown,,hey everyone
791642.5348023,0.4898192,0.0192107,0,-0.02188245,1.136072,-1.254351,0.1011476,0.06880307,-0.009347908,Unknown,,hey everyone
791642.5539782,0.5089252,0.019106,0,-0.02186514,1.136013,-1.254338,0.1013751,0.06894797,-0.009410401,Unknown,,hey everyone
791642.5731805,0.5281734,0.0192482,0,-0.02182554,1.135976,-1.25429,0.1015496,0.06918263,-0.009515256,Unknown,,hey everyone
