absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText
191733.6415667,0,0.02,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.1373635,0.02,0.02,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.1998822,0.0830102,0.0630102,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.2099393,0.0958639,0.0128537,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.2415711,0.1269782,0.0311143,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.2713693,0.1572087,0.0302305,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.3022551,0.1875138,0.0303051,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.3310484,0.2165707,0.0290569,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.3594212,0.2450232,0.0284525,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.387251,0.2726035,0.0275803,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.4150244,0.3004682,0.0278647,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.4414965,0.3272747,0.0268065,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.4682098,0.3540367,0.026762,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.4948397,0.3802414,0.0262047,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.5214701,0.406961,0.0267196,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.5456337,0.4314532,0.0244922,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.5712433,0.4567989,0.0253457,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.5956533,0.4811566,0.0243577,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.6208598,0.5066294,0.0254728,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.644965,0.5305067,0.0238773,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.6682693,0.5540421,0.0235354,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.6918379,0.5774707,0.0234286,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.7147527,0.6001638,0.0226931,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191735.7372191,0.623021,0.0228572,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
