absoluteTime,trialTime,deltaTime,trialIndex,xPos,yPos,zPos,xRot,yRot,zRot,conditionType,currentText,targetText
191733.6416635,0,0.02,0,-0.04182922,1.138797,-1.363628,0.05503123,-0.01856776,0.01901792,Unknown,,It can project long range goals for itself
191735.137367,0.02,0.02,0,-0.04018997,1.163525,-1.414892,-0.1106084,-0.02816712,0.01541728,Unknown,,It can project long range goals for itself
191735.1998868,0.0830102,0.0630102,0,-0.05858154,1.202445,-1.421219,-0.3233749,0.0497666,0.09969503,Unknown,,It can project long range goals for itself
191735.2099428,0.0958639,0.0128537,0,-0.0652821,1.204057,-1.410242,-0.3195925,0.02727459,0.107807,Unknown,,It can project long range goals for itself
191735.2415781,0.1269782,0.0311143,0,-0.06888612,1.205281,-1.402739,-0.3149302,0.01306196,0.1101394,Unknown,,It can project long range goals for itself
191735.2713725,0.1572087,0.0302305,0,-0.0724474,1.207116,-1.393725,-0.3086307,-0.001966222,0.1115988,Unknown,,It can project long range goals for itself
191735.30226,0.1875138,0.0303051,0,-0.07611813,1.209712,-1.38398,-0.3033768,-0.01678387,0.1137931,Unknown,,It can project long range goals for itself
191735.3310561,0.2165707,0.0290569,0,-0.07972272,1.212951,-1.373188,-0.29919,-0.02692084,0.1151049,Unknown,,It can project long range goals for itself
191735.3594251,0.2450232,0.0284525,0,-0.08299988,1.216514,-1.361663,-0.2947525,-0.03190292,0.1149218,Unknown,,It can project long range goals for itself
191735.3872562,0.2726035,0.0275803,0,-0.08559134,1.219882,-1.350269,-0.2897476,-0.03241848,0.1151375,Unknown,,It can project long range goals for itself
191735.4150282,0.3004682,0.0278647,0,-0.08766583,1.222493,-1.338473,-0.2832326,-0.02833936,0.1160568,Unknown,,It can project long range goals for itself
191735.4415008,0.3272747,0.0268065,0,-0.08926236,1.224826,-1.32616,-0.2762245,-0.02114755,0.1161467,Unknown,,It can project long range goals for itself
191735.4682133,0.3540367,0.026762,0,-0.09093626,1.226911,-1.313968,-0.2704358,-0.01388381,0.1155323,Unknown,,It can project long range goals for itself
191735.4948434,0.3802414,0.0262047,0,-0.09284198,1.229013,-1.301744,-0.266447,-0.008665063,0.1149474,Unknown,,It can project long range goals for itself
191735.5214738,0.406961,0.0267196,0,-0.09477603,1.231035,-1.289899,-0.2629666,-0.004717918,0.1152841,Unknown,,It can project long range goals for itself
191735.5456368,0.4314532,0.0244922,0,-0.09696021,1.232853,-1.277786,-0.259505,-0.003322382,0.1151509,Unknown,,It can project long range goals for itself
191735.5712489,0.4567989,0.0253457,0,-0.09933201,1.234601,-1.265354,-0.2559241,-0.004101159,0.1146771,Unknown,,It can project long range goals for itself
191735.5956586,0.4811566,0.0243577,0,-0.1017601,1.236157,-1.253956,-0.2522395,-0.007151091,0.1147019,Unknown,,It can project long range goals for itself
191735.6208634,0.5066294,0.0254728,0,-0.1044186,1.237783,-1.242573,-0.2485522,-0.01227591,0.1151402,Unknown,,It can project long range goals for itself
