Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
4740439;1000086689894919744;63837235840121;(0.099, 1.075, -0.234);(-0.096, -0.020, 0.015, 0.995);VALID;(0.239, -0.084, 0.967);(0.000, 0.000, 0.000);75.750;VALID;(0.272, -0.089, 0.958);(-0.038, 0.000, 0.000);0.265;3.471;13.108;VALID;(0.206, -0.076, 0.976);(0.038, 0.000, 0.000);0.287;3.753;13.080;1.037543;0
4740440;1000086689899921733;63837235840122;(0.099, 1.075, -0.234);(-0.096, -0.020, 0.015, 0.995);VALID;(0.241, -0.082, 0.967);(0.000, 0.000, 0.000);75.750;VALID;(0.273, -0.087, 0.958);(-0.038, 0.000, 0.000);0.265;3.471;13.108;VALID;(0.208, -0.075, 0.975);(0.038, 0.000, 0.000);0.287;3.753;13.080;1.041606;0
4740441;1000086689904917537;63837235840122;(0.099, 1.075, -0.234);(-0.096, -0.020, 0.015, 0.995);VALID;(0.242, -0.081, 0.967);(0.000, 0.000, 0.000);75.750;VALID;(0.274, -0.086, 0.958);(-0.038, 0.000, 0.000);0.265;3.471;13.108;VALID;(0.208, -0.074, 0.975);(0.038, 0.000, 0.000);0.287;3.754;13.080;1.040506;0
4740442;1000086689909919611;63837235840122;(0.099, 1.075, -0.234);(-0.096, -0.020, 0.015, 0.995);VALID;(0.242, -0.080, 0.967);(0.000, 0.000, 0.000);75.750;VALID;(0.274, -0.086, 0.958);(-0.038, 0.000, 0.000);0.265;3.472;13.108;VALID;(0.209, -0.074, 0.975);(0.038, 0.000, 0.000);0.287;3.753;13.080;1.045292;0
4740443;1000086689914921679;63837235840122;(0.099, 1.075, -0.234);(-0.096, -0.020, 0.015, 0.995);VALID;(0.241, -0.079, 0.967);(0.000, 0.000, 0.000);75.750;VALID;(0.274, -0.085, 0.958);(-0.038, 0.000, 0.000);0.265;3.475;13.108;VALID;(0.209, -0.073, 0.975);(0.038, 0.000, 0.000);0.287;3.752;13.080;1.050007;0
4740444;1000086689919923739;63837235840132;(0.100, 1.075, -0.234);(-0.096, -0.017, 0.015, 0.995);VALID;(0.240, -0.079, 0.967);(0.000, 0.000, 0.000);75.750;VALID;(0.273, -0.085, 0.958);(-0.038, 0.000, 0.000);0.265;3.477;13.108;VALID;(0.208, -0.072, 0.976);(0.038, 0.000, 0.000);0.287;3.748;13.080;1.04613;0
4740445;1000086689924925790;63837235840132;(0.100, 1.075, -0.234);(-0.096, -0.017, 0.015, 0.995);VALID;(0.239, -0.079, 0.968);(0.000, 0.000, 0.000);75.750;VALID;(0.272, -0.085, 0.959);(-0.038, 0.000, 0.000);0.265;3.476;13.108;VALID;(0.206, -0.072, 0.976);(0.038, 0.000, 0.000);0.287;3.749;13.080;1.040375;0
4740446;1000086689929927834;63837235840142;(0.100, 1.075, -0.233);(-0.096, -0.013, 0.015, 0.995);VALID;(0.238, -0.078, 0.968);(0.000, 0.000, 0.000);75.750;VALID;(0.271, -0.085, 0.959);(-0.038, 0.000, 0.000);0.265;3.474;13.108;VALID;(0.205, -0.071, 0.976);(0.038, 0.000, 0.000);0.287;3.749;13.080;1.0343;0
4740447;1000086689934929870;63837235840142;(0.100, 1.075, -0.233);(-0.096, -0.013, 0.015, 0.995);VALID;(0.237, -0.078, 0.968);(0.000, 0.000, 0.000);75.750;VALID;(0.270, -0.085, 0.959);(-0.038, 0.000, 0.000);0.265;3.474;13.108;VALID;(0.204, -0.071, 0.976);(0.038, 0.000, 0.000);0.287;3.750;13.080;1.021608;0
4740448;1000086689939931899;63837235840154;(0.101, 1.075, -0.233);(-0.095, -0.010, 0.015, 0.995);VALID;(0.236, -0.078, 0.969);(0.000, 0.000, 0.000);75.750;VALID;(0.269, -0.085, 0.959);(-0.038, 0.000, 0.000);0.265;3.475;13.108;VALID;(0.202, -0.070, 0.977);(0.038, 0.000, 0.000);0.287;3.750;13.080;1.013619;0
4740449;1000086689944933920;63837235840154;(0.101, 1.075, -0.233);(-0.095, -0.010, 0.015, 0.995);VALID;(0.234, -0.078, 0.969);(0.000, 0.000, 0.000);75.750;VALID;(0.268, -0.086, 0.960);(-0.038, 0.000, 0.000);0.265;3.476;13.108;VALID;(0.201, -0.069, 0.977);(0.038, 0.000, 0.000);0.286;3.746;13.080;0.9983706;0.1008911
4740450;1000086689949935933;63837235840164;(0.102, 1.075, -0.233);(-0.095, -0.007, 0.015, 0.995);VALID;(0.232, -0.078, 0.969);(0.000, 0.000, 0.000);75.750;VALID;(0.266, -0.087, 0.960);(-0.038, 0.000, 0.000);0.265;3.476;13.108;VALID;(0.200, -0.069, 0.977);(0.038, 0.000, 0.000);0.286;3.738;13.080;0.9934695;0.1674469
4740451;1000086689954937940;63837235840164;(0.102, 1.075, -0.233);(-0.095, -0.007, 0.015, 0.995);VALID;(0.231, -0.079, 0.970);(0.000, 0.000, 0.000);75.750;VALID;(0.265, -0.089, 0.960);(-0.038, 0.000, 0.000);0.265;3.476;13.108;VALID;(0.198, -0.069, 0.978);(0.038, 0.000, 0.000);0.285;3.732;13.080;0.9832968;0.2937928
4740452;1000086689959939942;63837235840186;(0.103, 1.075, -0.233);(-0.094, 0.000, 0.014, 0.995);VALID;(0.230, -0.079, 0.970);(0.000, 0.000, 0.000);75.750;VALID;(0.264, -0.089, 0.960);(-0.038, 0.000, 0.000);0.265;3.477;13.108;VALID;(0.197, -0.068, 0.978);(0.038, 0.000, 0.000);0.285;3.731;13.080;0.9758584;0.4114977
4740453;1000086689964941938;63837235840186;(0.103, 1.075, -0.233);(-0.094, 0.000, 0.014, 0.995);VALID;(0.229, -0.079, 0.970);(0.000, 0.000, 0.000);75.750;VALID;(0.263, -0.089, 0.961);(-0.038, 0.000, 0.000);0.265;3.477;13.108;VALID;(0.197, -0.068, 0.978);(0.038, 0.000, 0.000);0.285;3.731;13.080;0.9671235;0.4096117
4740454;1000086689969943928;63837235840186;(0.103, 1.075, -0.233);(-0.094, 0.000, 0.014, 0.995);VALID;(0.228, -0.080, 0.970);(0.000, 0.000, 0.000);75.750;VALID;(0.262, -0.090, 0.961);(-0.038, 0.000, 0.000);0.265;3.473;13.108;VALID;(0.196, -0.069, 0.978);(0.038, 0.000, 0.000);0.285;3.731;13.080;0.9817547;0.3161344
4740455;1000086689974945911;63837235840186;(0.103, 1.075, -0.233);(-0.094, 0.000, 0.014, 0.995);VALID;(0.227, -0.080, 0.971);(0.000, 0.000, 0.000);75.750;VALID;(0.261, -0.090, 0.961);(-0.038, 0.000, 0.000);0.265;3.469;13.108;VALID;(0.195, -0.069, 0.978);(0.038, 0.000, 0.000);0.285;3.731;13.080;0.9766516;0.2141685
4740456;1000086689979947886;63837235840187;(0.103, 1.075, -0.233);(-0.094, 0.000, 0.014, 0.995);VALID;(0.224, -0.080, 0.971);(0.000, 0.000, 0.000);75.750;VALID;(0.259, -0.091, 0.962);(-0.038, 0.000, 0.000);0.264;3.467;13.108;VALID;(0.193, -0.068, 0.979);(0.038, 0.000, 0.000);0.285;3.731;13.080;0.9688316;0.1193698
4740457;1000086689984949853;63837235840211;(0.104, 1.075, -0.233);(-0.094, 0.006, 0.013, 0.995);VALID;(0.221, -0.080, 0.972);(0.000, 0.000, 0.000);75.750;VALID;(0.256, -0.091, 0.962);(-0.038, 0.000, 0.000);0.264;3.461;13.108;VALID;(0.190, -0.068, 0.979);(0.038, 0.000, 0.000);0.285;3.731;13.080;0.961165;0.08284667
4740458;1000086689989951811;63837235840211;(0.104, 1.075, -0.233);(-0.094, 0.006, 0.013, 0.995);VALID;(0.218, -0.080, 0.973);(0.000, 0.000, 0.000);75.750;VALID;(0.253, -0.091, 0.963);(-0.038, 0.000, 0.000);0.264;3.460;13.108;VALID;(0.187, -0.067, 0.980);(0.038, 0.000, 0.000);0.285;3.728;13.080;0.9606515;0.01850939
4740459;1000086689994953763;63837235840211;(0.104, 1.075, -0.233);(-0.094, 0.006, 0.013, 0.995);VALID;(0.215, -0.080, 0.973);(0.000, 0.000, 0.000);75.750;VALID;(0.250, -0.091, 0.964);(-0.038, 0.000, 0.000);0.264;3.459;13.108;VALID;(0.185, -0.069, 0.980);(0.038, 0.000, 0.000);0.285;3.727;13.080;0.9828703;0
4740460;1000086689999955707;63837235840211;(0.104, 1.075, -0.233);(-0.094, 0.006, 0.013, 0.995);VALID;(0.213, -0.080, 0.974);(0.000, 0.000, 0.000);75.750;VALID;(0.247, -0.091, 0.965);(-0.038, 0.000, 0.000);0.264;3.460;13.108;VALID;(0.183, -0.069, 0.981);(0.038, 0.000, 0.000);0.285;3.723;13.080;1.005305;0
